Тип обладнання;Номер об'єкту;Адреса;Статус обладнання;Техогляд план 01;Техогляд план 02 ;Техогляд план 03;Техогляд план 04;Техогляд план 05;Техогляд план 06;Техогляд план 07;Техогляд план 08;Техогляд план 09;Техогляд план 10;Техогляд план 11;Техогляд план 12;Регулювання план 04;Регулювання план 10;Техобслуговування план;Плановий ремонт план;Техогляд факт 01;Техогляд факт 02 ;Техогляд факт 03;Техогляд факт 04;Техогляд факт 05;Техогляд факт 06;Техогляд факт 07;Техогляд факт 08;Техогляд факт 09;Техогляд факт 10;Техогляд факт 11;Техогляд факт 12;Регулювання факт 04;Регулювання факт 10;Техобслуговування факт;Плановий ремонт факт
ШГРП;№01150149;Хмільницький район село Сальник ;включене;17;17;19;18;19;18;18;18;17;17;14;15;18;17;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150150;Хмільницький район місто КалинівкаСадова;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150151;Хмільницький район село Бережани;включене;13;12;14;14;14;13;11;11;10;10;10;10;14;10;22.Кві;22.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150152;Хмільницький район село Лемешівка ЗОШ ;включене;9;7;7;7;6;3;3;01            29;29;6;28;29;7;6;15.Лип;15.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150154;Хмільницький район село Іванів;включене;20;19;21;21;21;20;21;20;19;20;18;18;7;6;30.Кві;30.Кві;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150155;Хмільницький район село Нападівка  Першотравнева;включене;10;10;12;11;12;12;14;13;12;13;12;12;11;13;01.Лип;01.Лип;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
ШГРП;№01150156;Хмільницький район село Дружелюбівка  Центральна;включене;15;14;17;16;16;11;10;8;5;7;6;5;11;7;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150157;Хмільницький район село Мирне Польова;включене;15;14;17;16;16;11;10;8;5;7;6;5;11;7;15.Лип;15.Лип;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;1
ШГРП;№01150158;Хмільницький район село Глинськ (колгосп);відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150159;Хмільницький район село Павлівка Миру;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150160;Хмільницький район місто КалинівкаКоцюбинського;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150161;Хмільницький район місто КалинівкаВаршицька;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150162;Хмільницький район місто Калинівка площа Шкільна;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150164;Хмільницький район місто КалинівкаВ.Нестерчука;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150165;Хмільницький район село Голендри Шкільна;відключене;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ШГРП;№01150166;Хмільницький район місто Калинівка Сальницька ;включене;17;17;19;18;19;18;18;18;19;17;14;15;14;10;05.Чер;05.Чер;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1
